dispatch_time,num_orders_in_batch,num_available_couriers,supply_demand_ratio,num_proposed_assignments,num_accepted_assignments,num_rejections,assignment_rate,acceptance_rate,total_cost_of_cycle,avg_cost_per_assignment,agreement_rate_with_actual,cost_function,mode,strategy_key,num_units,num_bundles,avg_bundle_size,micro_batch_sec,optimizer_status,num_deferred_in,num_deferred_out,num_deferred_carry,decision_ms,optimizer_ms
1666236432,798,3417,4.2819548872180455,798,705,93,0.8834586466165414,0.8834586466165414,3465000.0,4914.893617021276,0.009929078014184398,distance_to_pickup,BATCH,clustered_milp_vrp,798,0,0,0,ok,0,93,93,3077.382666990161,2230.712999997195
1666236612,784,3195,4.075255102040816,784,672,112,0.8571428571428571,0.8571428571428571,3093000.0,4602.678571428572,0.01488095238095238,distance_to_pickup,BATCH,clustered_milp_vrp,784,0,0,0,ok,0,112,112,2995.868875004817,2252.1592089906335
1666322707,845,3753,4.441420118343196,845,723,122,0.855621301775148,0.855621301775148,4932000.0,6821.576763485477,0.0013831258644536654,distance_to_pickup,BATCH,clustered_milp_vrp,845,0,0,0,ok,0,122,122,3635.393499978818,2676.275334029924
1666322827,806,3539,4.390818858560794,806,701,105,0.869727047146402,0.869727047146402,3535000.0,5042.796005706134,0.008559201141226819,distance_to_pickup,BATCH,clustered_milp_vrp,806,0,0,0,ok,0,105,105,3245.002999959979,2395.44258400565
1666323007,768,3329,4.334635416666667,768,680,88,0.8854166666666666,0.8854166666666666,2476000.0,3641.176470588235,0.010294117647058823,distance_to_pickup,BATCH,clustered_milp_vrp,768,0,0,0,ok,0,88,88,2915.2456669835374,2152.448082983028
1666409110,788,3891,4.937817258883249,788,697,91,0.8845177664974619,0.8845177664974619,3551000.0,5094.691535150646,0.0014347202295552368,distance_to_pickup,BATCH,clustered_milp_vrp,788,0,0,0,ok,0,91,91,3435.7902909978293,2509.210249991156
1666409230,763,3690,4.836173001310616,763,665,98,0.8715596330275229,0.8715596330275229,2968000.0,4463.1578947368425,0.007518796992481203,distance_to_pickup,BATCH,clustered_milp_vrp,763,0,0,0,ok,0,98,98,3156.004542019218,2322.677666961681
1666409410,732,3496,4.775956284153006,732,634,98,0.8661202185792349,0.8661202185792349,3138000.0,4949.526813880127,0.00946372239747634,distance_to_pickup,BATCH,clustered_milp_vrp,732,0,0,0,ok,0,98,98,2851.9347499823198,2091.430708009284
1666495519,732,3996,5.459016393442623,732,636,96,0.8688524590163934,0.8688524590163934,3336000.0,5245.2830188679245,0.0047169811320754715,distance_to_pickup,BATCH,clustered_milp_vrp,732,0,0,0,ok,0,96,96,3151.8832920119166,2262.244541954715
1666495639,687,3803,5.535662299854439,687,589,98,0.8573508005822417,0.8573508005822417,2498000.0,4241.086587436333,0.0050933786078098476,distance_to_pickup,BATCH,clustered_milp_vrp,687,0,0,0,ok,0,98,98,2822.7167499717325,2043.9215839724056
1666495819,767,3607,4.702737940026076,767,670,97,0.8735332464146024,0.8735332464146024,3237000.0,4831.3432835820895,0.007462686567164179,distance_to_pickup,BATCH,clustered_milp_vrp,767,0,0,0,ok,0,97,97,3096.269957954064,2268.2032079901546
1666581917,747,4074,5.453815261044177,747,638,109,0.8540829986613119,0.8540829986613119,3498000.0,5482.758620689655,0.001567398119122257,distance_to_pickup,BATCH,clustered_milp_vrp,747,0,0,0,ok,0,109,109,3335.6516669737175,2422.9633749928325
1666582037,811,3872,4.774352651048089,811,701,110,0.8643649815043156,0.8643649815043156,3448000.0,4918.687589158345,0.0042796005706134095,distance_to_pickup,BATCH,clustered_milp_vrp,811,0,0,0,ok,0,110,110,3446.6179159935564,2490.165041992441
1666582217,718,3662,5.100278551532034,718,628,90,0.8746518105849582,0.8746518105849582,2419000.0,3851.9108280254777,0.01592356687898089,distance_to_pickup,BATCH,clustered_milp_vrp,718,0,0,0,ok,0,90,90,2913.4692089864984,2134.20704100281
