time,type,description,details
1911,PICKUP_SERVICE_START,Courier 0 starting pickup service (90s),"{""courier_id"": 0, ""service_time"": 90}"
1958,ORDER_READY,Order 19 is ready for pickup,"{""order_id"": 19}"
1970,ORDER_PLACED,Order 21 placed,"{""order_id"": 21, ""restaurant_id"": 4}"
2001,ORDER_PICKED_UP,Order 10 picked up by courier 0,"{""order_id"": 10, ""courier_id"": 0}"
2001,COURIER_DELIVERING,Courier 0 heading to first dropoff (optimized),"{""courier_id"": 0, ""order_ids"": []}"
2071,ORDER_READY,Order 20 is ready for pickup,"{""order_id"": 20}"
2076,ORDER_DELIVERED,Order 5 delivered by courier 2,"{""order_id"": 5, ""courier_id"": 2, ""click_to_door"": 1600.612541221475, ""ready_to_door"": 1420.612541221475}"
2076,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2100,ASSIGNMENT_MADE,Courier 2 assigned orders [20],"{""courier_id"": 2, ""order_ids"": [20], ""bundle_size"": 1, ""has_relay"": false}"
2150,ORDER_READY,Order 21 is ready for pickup,"{""order_id"": 21}"
2157,ORDER_EXPIRED,Order 11 expired (not matched within 900s),"{""order_id"": 11}"
2190,PICKUP_SERVICE_START,Courier 2 starting pickup service (90s),"{""courier_id"": 2, ""service_time"": 90}"
2192,ORDER_DELIVERED,Order 3 delivered by courier 1,"{""order_id"": 3, ""courier_id"": 1, ""click_to_door"": 1816.193638701627, ""ready_to_door"": 1636.193638701627}"
2192,COURIER_IDLE,Courier 1 is now idle,"{""courier_id"": 1}"
2209,ORDER_DELIVERED,Order 9 delivered by courier 3,"{""order_id"": 9, ""courier_id"": 3, ""click_to_door"": 1241.6777848935312, ""ready_to_door"": 1061.6777848935312}"
2209,COURIER_IDLE,Courier 3 is now idle,"{""courier_id"": 3}"
2280,ORDER_PICKED_UP,Order 20 picked up by courier 2,"{""order_id"": 20, ""courier_id"": 2}"
2280,COURIER_DELIVERING,Courier 2 heading to first dropoff (optimized),"{""courier_id"": 2, ""order_ids"": []}"
2291,ORDER_DELIVERED,Order 10 delivered by courier 0,"{""order_id"": 10, ""courier_id"": 0, ""click_to_door"": 1228.2423158874788, ""ready_to_door"": 1048.2423158874788}"
2291,COURIER_IDLE,Courier 0 is now idle,"{""courier_id"": 0}"
2397,ORDER_EXPIRED,Order 13 expired (not matched within 900s),"{""order_id"": 13}"
2400,ASSIGNMENT_MADE,Courier 0 assigned orders [21],"{""courier_id"": 0, ""order_ids"": [21], ""bundle_size"": 1, ""has_relay"": false}"
2400,ASSIGNMENT_MADE,Courier 1 assigned orders [14],"{""courier_id"": 1, ""order_ids"": [14], ""bundle_size"": 1, ""has_relay"": false}"
2400,ASSIGNMENT_MADE,Courier 3 assigned orders [18],"{""courier_id"": 3, ""order_ids"": [18], ""bundle_size"": 1, ""has_relay"": false}"
2439,ORDER_PLACED,Order 22 placed,"{""order_id"": 22, ""restaurant_id"": 4}"
2491,ORDER_EXPIRED,Order 15 expired (not matched within 900s),"{""order_id"": 15}"
2494,ORDER_EXPIRED,Order 16 expired (not matched within 900s),"{""order_id"": 16}"
2502,ORDER_PLACED,Order 23 placed,"{""order_id"": 23, ""restaurant_id"": 3}"
2507,ORDER_PLACED,Order 24 placed,"{""order_id"": 24, ""restaurant_id"": 2}"
2525,ORDER_DELIVERED,Order 12 delivered by courier 4,"{""order_id"": 12, ""courier_id"": 4, ""click_to_door"": 1438.774953129568, ""ready_to_door"": 1258.774953129568}"
2525,COURIER_IDLE,Courier 4 is now idle,"{""courier_id"": 4}"
2526,ORDER_EXPIRED,Order 17 expired (not matched within 900s),"{""order_id"": 17}"
2584,ORDER_DELIVERED,Order 20 delivered by courier 2,"{""order_id"": 20, ""courier_id"": 2, ""click_to_door"": 693.3965075963692, ""ready_to_door"": 513.3965075963692}"
2584,COURIER_IDLE,Courier 2 is now idle,"{""courier_id"": 2}"
2619,ORDER_READY,Order 22 is ready for pickup,"{""order_id"": 22}"
2646,ORDER_PLACED,Order 25 placed,"{""order_id"": 25, ""restaurant_id"": 2}"
2682,ORDER_READY,Order 23 is ready for pickup,"{""order_id"": 23}"
2687,ORDER_READY,Order 24 is ready for pickup,"{""order_id"": 24}"
2690,ORDER_PLACED,Order 26 placed,"{""order_id"": 26, ""restaurant_id"": 3}"
